Categoria,Variable,N,Tasa_pct
admin.,ocupacion,10419,12.97
blue-collar,ocupacion,9253,6.9
desconocido,ocupacion,330,11.21
entrepreneur,ocupacion,1456,8.52
housemaid,ocupacion,1060,10.0
management,ocupacion,2924,11.22
retired,ocupacion,1718,25.26
self-employed,ocupacion,1421,10.49
services,ocupacion,3967,8.14
student,ocupacion,875,31.43
technician,ocupacion,6739,10.83
unemployed,ocupacion,1014,14.2
desconocido,estado_civil,80,15.0
divorced,estado_civil,4611,10.32
married,estado_civil,24921,10.16
single,estado_civil,11564,14.01
illiterate,educacion,18,22.22
basic.4y,educacion,4176,10.25
basic.6y,educacion,2291,8.21
basic.9y,educacion,6045,7.82
high.school,educacion,9512,10.84
professional.course,educacion,5240,11.35
university.degree,educacion,12164,13.72
desconocido,educacion,1730,14.51
desconocido,prestamo_vivienda,990,10.81
no,prestamo_vivienda,18615,10.88
yes,prestamo_vivienda,21571,11.62
desconocido,prestamo_personal,990,10.81
no,prestamo_personal,33938,11.34
yes,prestamo_personal,6248,10.93
cellular,tipo_contacto,26135,14.74
telephone,tipo_contacto,15041,5.23
mar,mes,546,50.55
apr,mes,2631,20.49
may,mes,13767,6.44
jun,mes,5318,10.51
jul,mes,7169,9.04
aug,mes,6176,10.61
sep,mes,570,44.91
oct,mes,717,43.93
nov,mes,4100,10.15
dec,mes,182,48.9
mon,dia_semana,8512,9.95
tue,dia_semana,8086,11.79
wed,dia_semana,8134,11.67
thu,dia_semana,8618,12.11
fri,dia_semana,7826,10.81
failure,resultado_campana_previa,4252,14.23
nonexistent,resultado_campana_previa,35551,8.83
success,resultado_campana_previa,1373,65.11
17-25,grupo_etario,1665,20.96
26-35,grupo_etario,14844,11.72
36-45,grupo_etario,12839,8.51
46-60,grupo_etario,10919,9.56
60+,grupo_etario,909,45.54
