,edad,duracion,n_contactos_campana,dias_ultimo_contacto,n_contactos_previos,var_empleo,idx_precios,idx_confianza,euribor_3m,n_empleados
edad,1.0,-0.001,0.005,-0.07,0.024,-0.0,0.001,0.129,0.011,-0.018
duracion,-0.001,1.0,-0.072,0.077,0.021,-0.028,0.005,-0.008,-0.033,-0.045
n_contactos_campana,0.005,-0.072,1.0,0.046,-0.079,0.151,0.128,-0.014,0.135,0.144
dias_ultimo_contacto,-0.07,0.077,0.046,1.0,-0.04,0.153,0.172,-0.083,-0.082,-0.137
n_contactos_previos,0.024,0.021,-0.079,-0.04,1.0,-0.421,-0.203,-0.051,-0.455,-0.501
var_empleo,-0.0,-0.028,0.151,0.153,-0.421,1.0,0.775,0.196,0.972,0.907
idx_precios,0.001,0.005,0.128,0.172,-0.203,0.775,1.0,0.059,0.688,0.522
idx_confianza,0.129,-0.008,-0.014,-0.083,-0.051,0.196,0.059,1.0,0.278,0.101
euribor_3m,0.011,-0.033,0.135,-0.082,-0.455,0.972,0.688,0.278,1.0,0.945
n_empleados,-0.018,-0.045,0.144,-0.137,-0.501,0.907,0.522,0.101,0.945,1.0
