,edad,duracion,n_contactos_campana,dias_ultimo_contacto,n_contactos_previos,var_empleo,idx_precios,idx_confianza,euribor_3m,n_empleados
edad,1.0,-0.002,0.006,-0.056,-0.013,0.045,0.045,0.114,0.054,0.045
duracion,-0.002,1.0,-0.081,0.102,0.042,-0.069,0.003,-0.009,-0.078,-0.095
n_contactos_campana,0.006,-0.081,1.0,0.059,-0.087,0.156,0.096,-0.001,0.141,0.144
dias_ultimo_contacto,-0.056,0.102,0.059,1.0,-0.001,0.149,0.155,-0.015,-0.091,-0.165
n_contactos_previos,-0.013,0.042,-0.087,-0.001,1.0,-0.435,-0.283,-0.116,-0.455,-0.439
var_empleo,0.045,-0.069,0.156,0.149,-0.435,1.0,0.665,0.225,0.94,0.945
idx_precios,0.045,0.003,0.096,0.155,-0.283,0.665,1.0,0.246,0.491,0.465
idx_confianza,0.114,-0.009,-0.001,-0.015,-0.116,0.225,0.246,1.0,0.237,0.133
euribor_3m,0.054,-0.078,0.141,-0.091,-0.455,0.94,0.491,0.237,1.0,0.929
n_empleados,0.045,-0.095,0.144,-0.165,-0.439,0.945,0.465,0.133,0.929,1.0
