,edad,duracion,n_contactos_campana,dias_ultimo_contacto,n_contactos_previos,var_empleo,idx_precios,idx_confianza,euribor_3m,n_empleados
edad,108.591,-2.184,0.133,-4.072,0.126,-0.004,0.006,6.225,0.196,-13.257
duracion,-2.184,67239.249,-51.553,74.906,2.644,-11.381,0.796,-9.751,-14.779,-836.931
n_contactos_campana,0.133,-51.553,7.675,0.217,-0.109,0.656,0.205,-0.175,0.649,28.849
dias_ultimo_contacto,-4.072,74.906,0.217,14.63,-0.143,0.488,0.516,-2.105,-0.166,-27.384
n_contactos_previos,0.126,2.644,-0.109,-0.143,0.245,-0.327,-0.058,-0.117,-0.39,-17.931
var_empleo,-0.004,-11.381,0.656,0.488,-0.327,2.468,0.705,1.427,2.649,102.937
idx_precios,0.006,0.796,0.205,0.516,-0.058,0.705,0.335,0.159,0.691,21.829
idx_confianza,6.225,-9.751,-0.175,-2.105,-0.117,1.427,0.159,21.417,2.23,33.664
euribor_3m,0.196,-14.779,0.649,-0.166,-0.39,2.649,0.691,2.23,3.008,118.441
n_empleados,-13.257,-836.931,28.849,-27.384,-17.931,102.937,21.829,33.664,118.441,5220.26
