Variable,n,Media,Mediana,Moda,Desv_Est,Varianza,Min,Q1,Q3,Max,Rango,RIC,CV_pct,Asimetria,Curtosis
edad,41176,40.024,38.0,31.0,10.421,108.591,17.0,32.0,47.0,98.0,81.0,15.0,26.036,0.785,0.791
duracion,41176,258.316,180.0,85.0,259.305,67239.249,0.0,102.0,319.0,4918.0,4918.0,217.0,100.383,3.263,20.244
n_contactos_campana,41176,2.568,2.0,1.0,2.77,7.675,1.0,1.0,3.0,56.0,55.0,2.0,107.884,4.762,36.972
dias_ultimo_contacto,1515,6.015,6.0,3.0,3.825,14.63,0.0,3.0,7.0,27.0,27.0,4.0,63.595,1.459,2.565
n_contactos_previos,41176,0.173,0.0,0.0,0.495,0.245,0.0,0.0,0.0,7.0,7.0,0.0,286.084,3.831,20.102
var_empleo,41176,0.082,1.1,1.4,1.571,2.468,-3.4,-1.8,1.4,1.4,4.8,3.2,1917.546,-0.724,-1.063
idx_precios,41176,93.576,93.749,93.994,0.579,0.335,92.201,93.075,93.994,94.767,2.566,0.919,0.619,-0.231,-0.83
idx_confianza,41176,-40.503,-41.8,-36.4,4.628,21.417,-50.8,-42.7,-36.4,-26.9,23.9,6.3,-11.426,0.303,-0.359
euribor_3m,41176,3.621,4.857,4.857,1.734,3.008,0.634,1.344,4.961,5.045,4.411,3.617,47.896,-0.709,-1.407
n_empleados,41176,5167.035,5191.0,5228.1,72.251,5220.26,4963.6,5099.1,5228.1,5228.1,264.5,129.0,1.398,-1.044,-0.004
