,Tipo,No_nulos,Unicos
age,int64,41188,78
job,object,41188,12
marital,object,41188,4
education,object,41188,8
default,object,41188,3
housing,object,41188,3
loan,object,41188,3
contact,object,41188,2
month,object,41188,10
day_of_week,object,41188,5
duration,int64,41188,1544
campaign,int64,41188,42
pdays,int64,41188,27
previous,int64,41188,8
poutcome,object,41188,3
emp.var.rate,float64,41188,10
cons.price.idx,float64,41188,26
cons.conf.idx,float64,41188,26
euribor3m,float64,41188,316
nr.employed,float64,41188,11
y,object,41188,2
